seme,variante,differenza,ic_basso,ic_alto
0,selezione45,9.00891126893355e-05,-0.00010133356482496607,0.0002909069980776859
0,pca31,8.126016208542756e-05,-0.0003459302694344906,0.0004978193792478116
1,selezione45,-8.333802534958526e-05,-0.00028964243455974946,0.00011824158689502677
1,pca31,-4.670716052856496e-05,-0.0004760482657468517,0.00038861314238308227
2,selezione45,8.685260295141422e-05,-0.00011848438482955211,0.00029544960768665245
2,pca31,6.177417618123964e-05,-0.00030715108325168574,0.00043950555336408684
