verifica,differenza,ic_basso,ic_alto,quota_peggiore,esito,quota_set,quota_colonne
seme 0,4.6033153859718516e-05,-0.0003403740207676695,0.00044478387001657,0.5879,,,
seme 1,-8.093831027203212e-05,-0.00045324689988027493,0.00030159691663163843,0.34,,,
seme 2,-7.257943097189216e-05,-0.0004709642098540234,0.0003332779920006214,0.3649,,,
seme 3,7.946937368565777e-05,-0.00033278072763861583,0.0005177011470018407,0.6455,,,
seme 4,8.24518504899168e-05,-0.0003120803930150979,0.0004919838712696995,0.6608,,,
media5,1.2269717258718758e-05,-0.0003483905950133165,0.0003901777745370122,0.5253,"NULLA: set scartato, chiuso a costo zero",,
importanza,,,,,,0.5054376576880832,0.48
