league,season,home_team,away_team,B365H,B365D,B365A,B365>2.5,B365<2.5
ITA-Serie A,2627,Inter,Napoli,1.62,3.75,5.50,1.75,1.95
ITA-Serie A,2627,Roma,Atalanta,,,,,
ITA-Serie A,2627,Frosinone,Venezia,,,,,
ITA-Serie A,2627,Parma,Monza,,,,,
ITA-Serie A,2627,Bologna,Sassuolo,,,,,
ITA-Serie A,2627,Juventus,Milan,,,,,
ITA-Serie A,2627,Cagliari,Lecce,,,,,
ITA-Serie A,2627,Udinese,Lazio,,,,,
