season,matchday,match_date,home_team,away_team,model_version,timestamp_prediction,p_home,p_draw,p_away,p_over25,p_btts,lambda_home,lambda_away,odds_home,odds_draw,odds_away,odds_source,FTHG,FTAG,FTR,esito_previsto,azzeccato,rps,log_loss,brier,rps_mercato,valida
2627,3,2026-09-05,Inter,Napoli,M1 market-only (lambda),2026-09-05 16:01:19+00:00,0.59118,0.22354,0.18528,0.5293,0.51271,1.8603,0.9345,1.62,3.75,5.5,B365,3.0,2.0,H,H,,,,,,False
2627,3,2026-09-05,Roma,Atalanta,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.55635,0.23744,0.20621,0.5,0.50371,1.7249,0.9492,1.73,3.6,5.0,B365-fixtures,2.0,1.0,H,H,,,,,,False
2627,3,2026-09-06,Bologna,Sassuolo,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.4813,0.25735,0.26135,0.47222,0.50635,1.5169,1.046,2.0,3.4,3.9,B365-fixtures,2.0,2.0,D,H,0.0,0.14997675625,1.3573182528833734,0.851482535,0.14305168546042696,True
2627,3,2026-09-06,Frosinone,Venezia,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.35078,0.25473,0.39449,0.52027,0.55902,1.3307,1.4265,2.7,3.3,2.6,B365-fixtures,3.0,2.0,H,A,0.0,0.28855448425,1.0475960326521454,0.6419963414000001,0.2772854683747597,True
2627,3,2026-09-06,Juventus,Milan,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.45648,0.26594,0.27757,0.44908,0.49311,1.4241,1.0482,2.1,3.25,3.7,B365-fixtures,1.0,1.0,D,H,0.0,0.14271232339999998,1.3244845595535772,0.8242631788999999,0.13489603942511713,True
2627,3,2026-09-06,Parma,Monza,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.36684,0.28233,0.35083,0.40875,0.4708,1.1753,1.1428,2.6,3.1,2.9,B365-fixtures,1.0,1.0,D,H,0.0,0.12882663725,1.264678679443331,0.7727035034,0.12054852901947365,True
2627,3,2026-09-07,Cagliari,Lecce,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.4802,0.27648,0.24332,0.39161,0.43808,1.367,0.8866,2.0,3.1,4.33,B365-fixtures,1.0,0.0,H,H,1.0,0.1646983312,0.7335525951949842,0.40583785280000007,0.16205181663523258,True
2627,3,2026-09-07,Udinese,Lazio,M1 market-only (lambda),2026-09-05 19:29:10+00:00,0.32509,0.2815,0.3934,0.40875,0.46937,1.0896,1.2285,2.9,3.1,2.55,B365-fixtures,1.0,2.0,A,A,1.0,0.23681746809999998,0.9329283730271782,0.5528893181,0.2513364102046071,True
