season,matchday,n_previsioni,n_valide,rps,rps_mercato,accuratezza,file,n_cumulate,rps_cumulativo
2627,3,8,6,0.1852643334083333,0.1815283248532695,0.3333333333333333,round_2627_03.csv,6,0.1852643334083333
2627,4,10,10,0.21220202558999995,0.21155306107242144,0.5,round_2627_04.csv,16,0.20210039102187494
2627,5,9,9,0.21935950079999997,0.2154609415939872,0.3333333333333333,round_2627_05.csv,25,0.20831367054199995
