season,matchday,match_date,home_team,away_team,model_version,timestamp_prediction,p_home,p_draw,p_away,p_over25,p_btts,lambda_home,lambda_away,odds_home,odds_draw,odds_away,odds_source,FTHG,FTAG,FTR,fonte_risultato,esito_previsto,azzeccato,rps,log_loss,brier,rps_mercato,valida
2627,5,2026-09-19,Bologna,Torino,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.50134,0.25413,0.24454,0.47222,0.50055,1.5574,1.0056,1.91,3.5,4.0,B365-fixtures,1.0,1.0,D,football-data,H,0.0,0.15556835824999998,1.3699093318705677,0.8674636641000001,0.14999846536037933,True
2627,5,2026-09-19,Roma,Inter,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.35123,0.23948,0.40929,0.59125,0.61373,1.4659,1.5993,2.7,3.4,2.55,B365-fixtures,2.0,2.0,D,football-data,A,0.0,0.1454404085,1.4292853729249857,0.8692714873999999,0.13030077585290678,True
2627,5,2026-09-19,Udinese,Cagliari,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.42644,0.26909,0.30446,0.44908,0.49866,1.3639,1.1085,2.25,3.3,3.3,B365-fixtures,0.0,1.0,A,football-data,H,0.0,0.33280652725,1.189215563351029,0.7380363933,0.3426405325443788,True
2627,5,2026-09-19,Venezia,Lazio,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.23611,0.23862,0.52528,0.52778,0.53924,1.0705,1.7179,3.9,3.5,1.91,B365-fixtures,0.0,2.0,A,football-data,A,1.0,0.14055825249999998,0.6438238252288546,0.33804651490000004,0.15833860564787183,True
2627,5,2026-09-20,Fiorentina,Napoli,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.2864,0.25111,0.46249,0.51343,0.54469,1.1713,1.5576,3.3,3.4,2.2,B365-fixtures,1.0,1.0,D,football-data,A,0.0,0.14796098005000002,1.3818641888405754,0.8567581922000002,0.13491094513070956,True
2627,5,2026-09-20,Frosinone,Como,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.15071,0.18028,0.66901,0.66539,0.589,1.0473,2.3796,6.0,4.5,1.5,B365-fixtures,2.0,0.0,H,football-data,A,0.0,0.5844339421,1.8923978185505521,1.2013687626,0.5540166204986149,True
2627,5,2026-09-20,Juventus,Atalanta,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.56667,0.23502,0.19832,0.5,0.49913,1.7462,0.9278,1.7,3.9,4.75,B365-fixtures,2.0,0.0,H,football-data,H,1.0,0.1135508725,0.567978155270299,0.2823401117,0.11781659693349111,True
2627,5,2026-09-20,Milan,Lecce,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.76446,0.15659,0.07895,0.57211,0.41671,2.3629,0.6162,1.27,5.75,11.0,B365-fixtures,3.0,0.0,H,football-data,H,1.0,0.030856097049999993,0.26858557676079253,0.0862326222,0.03540327612753289,True
2627,5,2026-09-20,Parma,Genoa,M1 market-only (lambda),2026-09-19 08:53:08+00:00,0.30518,0.29066,0.40416,0.3732,0.43844,0.9942,1.1906,3.1,3.1,2.45,B365-fixtures,2.0,1.0,H,football-data,A,0.0,0.323060069,1.1868535125185475,0.7306033735999999,0.31572265624999996,True
